SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2018-07-18,,13.0,62.0,,62.0,Panaji
2018-07-20,,,38.0,,38.0,Panaji
2018-07-25,,,74.0,,74.0,Panaji
2018-07-27,4.0,,50.0,,50.0,Panaji
2018-01-08,6.0,,121.0,,114.0,Panaji
2018-03-08,6.0,,134.0,,123.0,Panaji
2018-08-08,,,133.0,,122.0,Panaji
2018-10-08,4.0,,47.0,,47.0,Panaji
2018-08-24,,12.0,128.0,,119.0,Panaji
2018-08-29,,,33.0,,33.0,Panaji
2018-08-31,,,20.0,,20.0,Panaji
2018-05-09,,12.0,20.0,,20.0,Panaji
2018-07-09,,15.0,47.0,,47.0,Panaji
2018-12-09,,11.0,61.0,,61.0,Panaji
2018-09-18,,,49.0,,49.0,Panaji
2018-09-20,,11.0,61.0,,61.0,Panaji
2018-09-26,,10.0,19.0,,19.0,Panaji
2018-03-10,,,42.0,,42.0,Panaji
2018-05-10,,11.0,42.0,,42.0,Panaji
2018-10-10,,12.0,66.0,,66.0,Panaji
2018-12-10,,,107.0,,105.0,Panaji
2018-10-17,,,70.0,,70.0,Panaji
2018-10-19,,,117.0,,112.0,Panaji
2018-10-24,5.0,18.0,72.0,,72.0,Panaji
2018-10-26,5.0,29.0,118.0,,112.0,Panaji
2018-10-30,,13.0,76.0,,76.0,Panaji
2018-01-11,,14.0,128.0,,119.0,Panaji
2018-03-11,,,74.0,15.0,74.0,Panaji
2018-04-11,,12.0,278.0,106.0,228.0,Panaji
2018-05-11,,9.0,94.0,157.0,94.0,Panaji
2018-07-11,,20.0,77.0,48.0,77.0,Panaji
2018-09-11,,14.0,82.0,22.0,82.0,Panaji
2018-11-11,,21.0,79.0,48.0,79.0,Panaji
2018-11-13,,,93.0,86.0,93.0,Panaji
2018-11-15,,19.0,80.0,55.0,80.0,Panaji
2018-11-21,,11.0,35.0,30.0,35.0,Panaji
2018-11-23,4.0,14.0,63.0,4.0,63.0,Panaji
2018-11-28,,19.0,81.0,34.0,81.0,Panaji
2018-11-30,8.0,14.0,96.0,73.0,96.0,Panaji
2018-05-12,8.0,16.0,62.0,37.0,62.0,Panaji
2018-07-12,5.0,10.0,63.0,66.0,63.0,Panaji
2018-12-12,6.0,16.0,91.0,50.0,91.0,Panaji
2018-12-14,7.0,17.0,111.0,31.0,108.0,Panaji
2018-12-18,6.0,22.0,69.0,24.0,69.0,Panaji
2018-12-21,7.0,22.0,155.0,71.0,137.0,Panaji
2018-12-26,7.0,27.0,81.0,82.0,81.0,Panaji
2018-12-28,7.0,28.0,209.0,76.0,172.0,Panaji
2019-02-01,,15.0,100.0,32.0,100.0,Panaji
2019-04-01,,13.0,77.0,68.0,77.0,Panaji
2019-09-01,,,233.0,76.0,188.0,Panaji
2019-11-01,,13.0,128.0,47.0,119.0,Panaji
2019-01-16,5.0,19.0,120.0,69.0,114.0,Panaji
2019-01-18,5.0,10.0,173.0,80.0,149.0,Panaji
2019-01-23,5.0,35.0,52.0,35.0,52.0,Panaji
2019-01-25,4.0,17.0,82.0,27.0,82.0,Panaji
2019-01-30,7.0,12.0,169.0,48.0,146.0,Panaji
2019-01-02,,20.0,139.0,84.0,127.0,Panaji
2019-06-02,,24.0,116.0,67.0,111.0,Panaji
2019-08-02,,27.0,116.0,35.0,111.0,Panaji
2019-02-13,,28.0,141.0,38.0,126.0,Panaji
2019-02-15,,12.0,100.0,47.0,100.0,Panaji
2019-02-20,17.0,12.0,95.0,44.0,95.0,Panaji
2019-02-22,,16.0,97.0,58.0,97.0,Panaji
2019-02-27,,,128.0,55.0,119.0,Panaji
2019-01-03,,18.0,100.0,51.0,100.0,Panaji
2019-06-03,,13.0,99.0,54.0,99.0,Panaji
2019-08-03,,12.0,135.0,89.0,123.0,Panaji
