SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2021-05-21,7.0,13.0,62.0,23.0,62.0,Ponda
2021-05-25,7.0,13.0,56.0,25.0,56.0,Ponda
2021-05-28,7.0,12.0,55.0,23.0,55.0,Ponda
2021-01-06,9.0,13.0,50.0,21.0,50.0,Ponda
2021-04-06,8.0,13.0,52.0,21.0,52.0,Ponda
2021-08-06,8.0,13.0,53.0,22.0,53.0,Ponda
2021-11-06,7.0,12.0,51.0,21.0,51.0,Ponda
2021-06-15,7.0,13.0,50.0,21.0,50.0,Ponda
2021-06-18,6.0,12.0,50.0,23.0,50.0,Ponda
2021-06-22,7.0,12.0,51.0,22.0,51.0,Ponda
2021-06-25,7.0,13.0,52.0,20.0,52.0,Ponda
2021-06-29,7.0,13.0,52.0,21.0,52.0,Ponda
